GTM_KeyBrand,GTM_Model,平均值 MVO_Age,Male%,tbl_RegistrationData 計數
YAMAHA,YAMAHA MT-09,35.8,0.9,10
YAMAHA,XSR700 MTM690,38.8,1,5
YAMAHA,Vinoora 125,38.75,0.25,4
YAMAHA,VINOORA,39.487628866,0.182474227,1940
YAMAHA,TMAX,46.781818182,0.890909091,55
YAMAHA,RS NEO 125,37.418768920,0.366296670,991
YAMAHA,R15M,24.588235294,0.897058824,68
YAMAHA,R7 YZF690,24.166666667,0.833333333,6
YAMAHA,motorcycle,36.907083717,0.889604416,2174
YAMAHA,Limi 125,40.442036836,0.234561213,1846
YAMAHA,Jog 125,51.284521516,0.369299936,9342
YAMAHA,JOG 50,58.5,0.5,2
YAMAHA,Force 2.0 155,32.630480167,0.793319415,479
YAMAHA,EC-05,38,1,1
YAMAHA,Cygnus XR 155,37.384050466,0.836079465,10621
YAMAHA,Cygnus 125,37.111111111,0.777777778,9
YAMAHA,CYGNUS,35.418567639,0.699204244,3770
YAMAHA,CUXiE,47.227665706,0.334293948,347
YAMAHA,BW'S,35.206896552,0.762452107,1044
YAMAHA,AXIS Z,47.614922813,0.581189251,3498
YAMAHA,AUGUR 155,34.762845850,0.830039526,253
YAMAHA,Aerox 155,33.952380952,0.857142857,21
SYM,Z1 attila 125,41.987179487,0.371794872,156
SYM,Z1 attila,35.063197026,0.416356877,269
SYM,Woo,55.399908453,0.230546231,6554
SYM,TTLBT,39.238095238,0.904761905,21
SYM,motorcycle,40.015625,0.8046875,128
SYM,MMBCU 158,32.685334496,0.853344955,4589
SYM,MAXSYM TL,44.52,0.96,25
SYM,MAXSYM GT 400,46.821428571,0.857142857,28
SYM,KRN BT,41.081300813,0.585365854,123
SYM,Jet SR 125,35.643175074,0.660237389,1348
SYM,Jet SL+ 158,18,,1
SYM,JET SL+ 158,30.641723356,0.676039305,6615
SYM,JET SL 158,31.028761062,0.702986726,1808
SYM,JET SL 125,29.007623467,0.496519722,3017
SYM,Fiddle LT,40.957876712,0.117808219,2920
SYM,Fiddle DX 150,47,1,2
SYM,Fiddle DX,39.913353116,0.528783383,1685
SYM,Fiddle 125,38.153437144,0.254462590,2633
SYM,E-WOO,29.531496063,0.240157480,254
SYM,Duke 125,46.118637507,0.612976582,20668
SYM,DRG 158,32.004000500,0.868858607,7999
SYM,CRUISYM,46.981182796,0.927419355,372
SYM,CLBCU,37.641470655,0.148207353,4379
SYM,ADXTG 400,41.976190476,0.857142857,42
SYM,活力 Vivo 125,47.366792589,0.395574744,5559
SYM,4MICA 150,43.308150183,0.688644689,2184
SYM,4MICA 125,46.389500423,0.558001693,1181
KYMCO,Yogurt Slim 125,38.845288326,0.174402250,711
KYMCO,Yogurt 125,38.152905199,0.159021407,327
KYMCO,Xciting X350,52.620689655,0.965517241,29
KYMCO,X-TOWN ST250,45.362586605,0.882217090,433
KYMCO,X-Sense 125,46.794117647,0.696078431,102
KYMCO,X-CITING,47.5,1,6
KYMCO,VJR 125,35.95703125,0.390625,256
KYMCO,S7R Techno,41,1,1
KYMCO,S7 Techno,40.982758621,0.603448276,58
KYMCO,S7 R,31,0.5,2
KYMCO,S7,-1,,98
KYMCO,S6 Techno,18.882352941,0.176470588,17
KYMCO,S6 Rex,34.635193133,0.622317597,233
KYMCO,RTS R 165,36.215520877,0.760860396,2371
KYMCO,RTS 135,32.436475410,0.569672131,488
KYMCO,RTS 125,33.245664740,0.586705202,346
KYMCO,RomaGT,35.015479876,0.863777090,323
KYMCO,RCS Moto 150,23,0.463414634,41
KYMCO,Nice XL 115,55.921568627,0.211258697,3162
KYMCO,Nice 100,54.234375,0.34375,64
KYMCO,motorcycle,44.862068966,0.948275862,58
KYMCO,MIG 9,43.272727273,0.8,55
KYMCO,Many Moto 110,33.684210526,0.263157895,19
KYMCO,Many Macaron,32.757575758,0.242424242,33
KYMCO,Many 125,38.284377250,0.214542837,2778
KYMCO,Many 110,44.352941176,0.352941176,17
KYMCO,Like 150,44.227272727,0.363636364,22
KYMCO,LIKE 125 Euro,42.855454545,0.233636364,1100
KYMCO,Like 125,43.678571429,0.217261905,336
KYMCO,KRV 180,32.9,0.82,200
KYMCO,K1 150,46.287414811,0.730031804,11005
KYMCO,K1 125,44.805682217,0.662223781,2851
KYMCO,K1,50.857142857,0.714285714,7
KYMCO,i-One Fly,7.335025381,0.096446701,394
KYMCO,i-One Air,53.786407767,0.281553398,206
KYMCO,i-One,33.366515837,0.574660633,221
KYMCO,i Many 110,42.752888889,0.168,1125
KYMCO,Hercules 150,29.117647059,0.411764706,17
KYMCO,GP125,50.226235265,0.525457738,3987
KYMCO,Genie 115,49.364334471,0.158703072,1172
KYMCO,G Dink,40.888888889,0.777777778,27
KYMCO,Freeway 125,48.770040486,0.429149798,3705
KYMCO,DTX CT,57,1,1
KYMCO,DOWNTOWN GT 350,47.052631579,0.789473684,19
KYMCO,Dollar 150,43.962230216,0.666366906,1112
KYMCO,Dollar 125,46.176201373,0.601830664,437
KYMCO,CoolOne,45.619047619,0.380952381,21
KYMCO,AK550,49.777777778,0.888888889,9
KYMCO,新名流150,12.693053312,0.198707593,619
KYMCO,超級金牌 150,41.382165605,0.528662420,157
KYMCO,金牌 125,51.713541667,0.583333333,192
KYMCO,名流Famous 125,48.608201137,0.545944328,3341
GOGORO,Gogoro VIVA XL SUPERFAST,39.387755102,0.571428571,49
GOGORO,Gogoro VIVA XL,37.459057072,0.491315136,403
GOGORO,Gogoro VIVA MIX SUPERFAST,37.333333333,0.555555556,18
GOGORO,Gogoro VIVA MIX,13.613888889,0.137037037,1080
GOGORO,Gogoro VIVA,41.333333333,0.666666667,3
GOGORO,Gogoro SuperSport,35.04,0.626666667,225
GOGORO,Gogoro Pulse,37.385093168,0.763975155,161
GOGORO,Gogoro Premium,35.969543147,0.664974619,197
GOGORO,Gogoro JEGO,1.532608696,,92
GOGORO,Gogoro Ezzy 500,37.277210884,0.345238095,588
GOGORO,Gogoro EZZY 500,43.092039801,0.509950249,402
GOGORO,Gogoro Ezzy,52,0.5,2
GOGORO,Gogoro EZZY,47.707685270,0.382433669,2186
GOGORO,Gogoro Delight,36.828947368,0.254385965,456
GOGORO,Gogoro CrossOver S,39.136363636,0.727272727,44
